x(um),y(um),Vx(mm/s),Vy(mm/s),Circular variance,particle numbers
-19.7025,-216.7275,0,0,0,0
-19.7025,-229.8625,0,0,0,0
-19.7025,-242.9975,0,0,0,0
-6.5675,19.7025,0,0,0,0
-6.5675,6.5675,0,0,0,0
-6.5675,-6.5675,-61.5230265,78.81,0.930844152487623,5
-6.5675,-19.7025,0,0,0,0
-6.5675,-32.8375,0,0,0,0
-6.5675,-45.9725,-14.2370265,189.144,0.585123767550265,5
-6.5675,-59.1075,-3.7290265,183.89,0.84070489579426,3
-6.5675,-72.2425,0,0,0,0
-6.5675,-85.3775,82.5866877857143,135.102857142857,0.495371404769618,7
-6.5675,-98.5125,22.5409735,210.16,0.871634690519814,6
-6.5675,-111.6475,33.0489735,252.192,0.441650693112572,5
-6.5675,-124.7825,17.2869735,141.858,0.43088614589979,5
-6.5675,-137.9175,127.6209735,31.524,0.495066036423032,5
-6.5675,-151.0525,0,0,0,0
-6.5675,-164.1875,0,0,0,0
-6.5675,-177.3225,0,0,0,0
-6.5675,-190.4575,0,0,0,0
-6.5675,-203.5925,0,0,0,0
-6.5675,-216.7275,0,0,0,0
-6.5675,-229.8625,0,0,0,0
-6.5675,-242.9975,0,0,0,0
6.5675,19.7025,0,0,0,0
6.5675,6.5675,0,0,0,0
6.5675,-6.5675,0,0,0,0
6.5675,-19.7025,-82.5390265,236.43,0.524217307036599,3
6.5675,-32.8375,-61.5230265,94.572,0.441417784969195,5
6.5675,-45.9725,-108.8090265,141.858,0.67876314767492,5
6.5675,-59.1075,-29.9990265,110.334,0.883215411796152,10
6.5675,-72.2425,-10.2965265,177.3225,0.836898860471431,4
6.5675,-85.3775,0,0,0,0
6.5675,-98.5125,48.8109735,197.025,0.9043220722859,6
6.5675,-111.6475,64.5729735,141.858,0.478211756358578,5
6.5675,-124.7825,140.7559735,52.54,0.814328470087494,6
6.5675,-137.9175,153.8909735,13.135,0.430821010040481,6
6.5675,-151.0525,0,0,0,0
6.5675,-164.1875,0,0,0,0
6.5675,-177.3225,0,0,0,0
6.5675,-190.4575,0,0,0,0
6.5675,-203.5925,0,0,0,0
6.5675,-216.7275,0,0,0,0
6.5675,-229.8625,0,0,0,0
6.5675,-242.9975,0,0,0,0
19.7025,19.7025,0,0,0,0
19.7025,6.5675,0,0,0,0
19.7025,-6.5675,-16.8640265,91.945,0.670299129627239,6
19.7025,-19.7025,48.8109735,157.62,0.759712784144767,3
19.7025,-32.8375,-198.877597928571,0,0.617971767416226,7
19.7025,-45.9725,-0.445276499999999,167.47125,0.566173920487024,8
19.7025,-59.1075,-29.9990265,157.62,0.659716003095396,4
19.7025,-72.2425,-29.9990265,204.906,0.569173089346753,5
19.7025,-85.3775,-124.5710265,-267.954,0.582464368471907,5
19.7025,-98.5125,88.2159735,157.62,0.772479832298935,4
19.7025,-111.6475,0,0,0,0
19.7025,-124.7825,143.3829735,126.096,0.284692415613673,5
19.7025,-137.9175,167.0259735,-275.835,0.840477675687068,2
19.7025,-151.0525,0,0,0,0
19.7025,-164.1875,0,0,0,0
19.7025,-177.3225,107.9184735,59.1075,0.177820781210649,4
19.7025,-190.4575,0,0,0,0
19.7025,-203.5925,0,0,0,0
19.7025,-216.7275,0,0,0,0
19.7025,-229.8625,0,0,0,0
19.7025,-242.9975,0,0,0,0
32.8375,19.7025,0,0,0,0
32.8375,6.5675,0,0,0,0
32.8375,-6.5675,-213.8890265,52.54,0.460114341192873,3
32.8375,-19.7025,-227.0240265,-118.215,0.424331594027747,8
32.8375,-32.8375,-266.4290265,-39.405,0.341936307148958,4
32.8375,-45.9725,0,0,0,0
32.8375,-59.1075,0,0,0,0
32.8375,-72.2425,-29.9990265,157.62,0.727035379748219,3
32.8375,-85.3775,0,0,0,0
32.8375,-98.5125,0,0,0,0
32.8375,-111.6475,127.6209735,91.945,0.607431226279671,6
32.8375,-124.7825,153.8909735,-78.81,0.56838856511486,3
32.8375,-137.9175,226.1334735,19.7025,0.466340419828222,4
32.8375,-151.0525,0,0,0,0
32.8375,-164.1875,206.4309735,94.572,0.325676629358336,5
32.8375,-177.3225,0,0,0,0
32.8375,-190.4575,0,0,0,0
32.8375,-203.5925,0,0,0,0
32.8375,-216.7275,0,0,0,0
32.8375,-229.8625,0,0,0,0
32.8375,-242.9975,0,0,0,0
45.9725,19.7025,0,0,0,0
45.9725,6.5675,0,0,0,0
45.9725,-6.5675,-187.6190265,108.36375,0.385118883955904,8
45.9725,-19.7025,-178.862359833333,105.08,0.41594031179353,9
45.9725,-32.8375,-165.101883642857,22.5171428571429,0.350040008997012,7
45.9725,-45.9725,-207.3215265,-19.7025,0.542021678733375,4
45.9725,-59.1075,-187.6190265,112.585714285714,0.493991458334572,7
45.9725,-72.2425,-227.0240265,9.85125,0.626913451184375,8
45.9725,-85.3775,-3.7290265,118.215,0.662609789082932,6
45.9725,-98.5125,-108.8090265,-177.3225,0.829925539817248,4
45.9725,-111.6475,186.7284735,98.5125,0.696516687005909,4
45.9725,-124.7825,143.3829735,141.858,0.63956654946715,5
45.9725,-137.9175,127.6209735,0,0.426396476112086,5
45.9725,-151.0525,161.396687785714,-11.2585714285714,0.257009462767968,7
45.9725,-164.1875,0,0,0,0
45.9725,-177.3225,0,0,0,0
45.9725,-190.4575,0,0,0,0
45.9725,-203.5925,0,0,0,0
45.9725,-216.7275,0,0,0,0
45.9725,-229.8625,0,0,0,0
45.9725,-242.9975,0,0,0,0
59.1075,19.7025,0,0,0,0
59.1075,6.5675,0,0,0,0
59.1075,-6.5675,-255.170455071429,33.7757142857143,0.21075536410609,7
59.1075,-19.7025,-198.877597928571,112.585714285714,0.362772815388758,7
59.1075,-32.8375,-87.7930265,63.048,0.421270509487933,15
59.1075,-45.9725,-158.0652765,88.66125,0.273336494979656,8
59.1075,-59.1075,-96.6844111153846,66.6853846153846,0.37121581477913,13
59.1075,-72.2425,-187.6190265,78.81,0.539087626036538,6
59.1075,-85.3775,-152.592359833333,-105.08,0.729268943732864,9
59.1075,-98.5125,-153.843312214286,-146.361428571429,0.723878460905358,7
59.1075,-111.6475,111.8589735,110.334,0.492954689209629,5
59.1075,-124.7825,127.6209735,131.35,0.630117358558242,9
59.1075,-137.9175,0,0,0,0
59.1075,-151.0525,182.7879735,78.81,0.370034096476558,10
59.1075,-164.1875,0,0,0,0
59.1075,-177.3225,0,0,0,0
59.1075,-190.4575,0,0,0,0
59.1075,-203.5925,0,0,0,0
59.1075,-216.7275,0,0,0,0
59.1075,-229.8625,0,0,0,0
59.1075,-242.9975,0,0,0,0
72.2425,19.7025,0,0,0,0
72.2425,6.5675,0,0,0,0
72.2425,-6.5675,-161.3490265,65.675,0.302389260840299,6
72.2425,-19.7025,-138.3627765,98.5125,0.395014160934655,8
72.2425,-32.8375,-195.5000265,86.691,0.463071293365767,10
72.2425,-45.9725,-232.653312214286,0,0.475538576360596,7
72.2425,-59.1075,-197.4702765,19.7025,0.363534315750268,8
72.2425,-72.2425,-178.862359833333,26.27,0.186965123752158,9
72.2425,-85.3775,0,0,0,0
72.2425,-98.5125,-69.4040265,118.215,0.22558298419226,2
72.2425,-111.6475,98.0672235,128.06625,0.175314761963899,8
72.2425,-124.7825,101.3509735,131.35,0.143722313813083,6
72.2425,-137.9175,0,0,0,0
72.2425,-151.0525,206.4309735,63.048,0.152256636191345,5
72.2425,-164.1875,298.3759735,-39.405,0.280046103617404,6
72.2425,-177.3225,0,0,0,0
72.2425,-190.4575,0,0,0,0
72.2425,-203.5925,0,0,0,0
72.2425,-216.7275,0,0,0,0
72.2425,-229.8625,0,0,0,0
72.2425,-242.9975,0,0,0,0
85.3775,19.7025,0,0,0,0
85.3775,6.5675,0,0,0,0
85.3775,-6.5675,-200.7540265,52.54,0.205411863262408,6
85.3775,-19.7025,-198.877597928571,78.81,0.11255998133098,7
85.3775,-32.8375,-179.7380265,31.524,0.40066240997903,10
85.3775,-45.9725,-198.877597928571,11.2585714285714,0.196310733737694,7
85.3775,-59.1075,-165.101883642857,33.7757142857143,0.286215134462369,7
85.3775,-72.2425,-56.2690265,118.215,0.401968278725166,6
85.3775,-85.3775,-49.7015265,137.9175,0.511762767675416,12
85.3775,-98.5125,-14.2370265,141.858,0.177342402698974,10
85.3775,-111.6475,105.103830642857,123.844285714286,0.14071160064468,7
85.3775,-124.7825,96.0969735,47.286,0.284922826134949,5
85.3775,-137.9175,0,0,0,0
85.3775,-151.0525,180.1609735,78.81,0.32826411272878,6
85.3775,-164.1875,48.8109735,157.62,0.361922553729147,5
85.3775,-177.3225,0,0,0,0
85.3775,-190.4575,0,0,0,0
85.3775,-203.5925,0,0,0,0
85.3775,-216.7275,0,0,0,0
85.3775,-229.8625,0,0,0,0
85.3775,-242.9975,0,0,0,0
98.5125,19.7025,0,0,0,0
98.5125,6.5675,0,0,0,0
98.5125,-6.5675,-211.2620265,47.286,0.0964267992786582,10
98.5125,-19.7025,-211.868257269231,72.7476923076923,0.320482320332225,13
98.5125,-32.8375,-222.645693166667,52.54,0.320661906141532,9
98.5125,-45.9725,-221.394740785714,33.7757142857143,0.182003412639648,7
98.5125,-59.1075,-200.7540265,78.81,0.200167635193038,6
98.5125,-72.2425,-115.3765265,98.5125,0.253785567799807,12
98.5125,-85.3775,-89.1065265,59.1075,0.391041199189417,12
98.5125,-98.5125,80.3349735,110.334,0.147071568125482,5
98.5125,-111.6475,0,0,0,0
98.5125,-124.7825,37.5524020714286,56.2928571428571,0.3921108334345,7
98.5125,-137.9175,107.9184735,177.3225,0.117736626354374,4
98.5125,-151.0525,262.723830642857,78.81,0.0847702578083606,7
98.5125,-164.1875,0,0,0,0
98.5125,-177.3225,143.3829735,110.334,0.12566032844727,5
98.5125,-190.4575,107.9184735,137.9175,0.491146541964199,4
98.5125,-203.5925,0,0,0,0
98.5125,-216.7275,0,0,0,0
98.5125,-229.8625,0,0,0,0
98.5125,-242.9975,0,0,0,0
111.6475,19.7025,0,0,0,0
111.6475,6.5675,0,0,0,0
111.6475,-6.5675,-207.3215265,19.7025,0.103782517952209,8
111.6475,-19.7025,-175.494411115385,36.3738461538462,0.258720317640884,13
111.6475,-32.8375,-192.8730265,26.27,0.384281930366436,15
111.6475,-45.9725,-187.6190265,23.643,0.0767807871862809,10
111.6475,-59.1075,-56.2690265,144.485,0.506140664207699,6
111.6475,-72.2425,-187.6190265,110.334,0.295976796154523,5
111.6475,-85.3775,-56.2690265,131.35,0.355389812751563,6
111.6475,-98.5125,147.3234735,118.215,0.337609278114924,4
111.6475,-111.6475,0,0,0,0
111.6475,-124.7825,48.8109735,168.878571428571,0.0543809602520108,7
111.6475,-137.9175,0,0,0,0
111.6475,-151.0525,149.114609863636,128.961818181818,0.119324878943002,11
111.6475,-164.1875,0,0,0,0
111.6475,-177.3225,0,0,0,0
111.6475,-190.4575,0,0,0,0
111.6475,-203.5925,0,0,0,0
111.6475,-216.7275,0,0,0,0
111.6475,-229.8625,0,0,0,0
111.6475,-242.9975,0,0,0,0
124.7825,19.7025,0,0,0,0
124.7825,6.5675,0,0,0,0
124.7825,-6.5675,-180.454481045455,14.3290909090909,0.125579340522081,11
124.7825,-19.7025,-165.101883642857,112.585714285714,0.165138590975865,7
124.7825,-32.8375,-167.9165265,19.7025,0.32256510411854,8
124.7825,-45.9725,-21.2423598333333,131.35,0.356842822896295,9
124.7825,-59.1075,-195.5000265,94.572,0.252904666581887,10
124.7825,-72.2425,-108.8090265,78.81,0.38670039042308,4
124.7825,-85.3775,-51.4926628636364,164.784545454545,0.352331901594984,11
124.7825,-98.5125,-45.7610265,173.382,0.388587075954259,10
124.7825,-111.6475,60.0695449285714,180.137142857143,0.176053658503149,7
124.7825,-124.7825,117.7697235,167.47125,0.0132037070103252,8
124.7825,-137.9175,0,0,0,0
124.7825,-151.0525,161.396687785714,112.585714285714,0.491195373988911,7
124.7825,-164.1875,0,0,0,0
124.7825,-177.3225,0,0,0,0
124.7825,-190.4575,0,0,0,0
124.7825,-203.5925,0,0,0,0
124.7825,-216.7275,0,0,0,0
124.7825,-229.8625,0,0,0,0
124.7825,-242.9975,0,0,0,0
137.9175,19.7025,0,0,0,0
137.9175,6.5675,0,0,0,0
137.9175,-6.5675,-174.4840265,13.135,0.179866869415056,6
137.9175,-19.7025,-177.7677765,29.55375,0.231071639664959,8
137.9175,-32.8375,-187.6190265,33.7757142857143,0.271817183768481,14
137.9175,-45.9725,-176.360455071429,56.2928571428571,0.334923054259938,7
137.9175,-59.1075,-108.8090265,123.844285714286,0.293326126247422,7
137.9175,-72.2425,-18.7404550714286,123.844285714286,0.345219274394652,7
137.9175,-85.3775,-108.8090265,78.81,0.592842228918474,4
137.9175,-98.5125,13.7843068333333,166.376666666667,0.42325472956546,9
137.9175,-111.6475,-7.48188364285714,157.62,0.106383904802078,7
137.9175,-124.7825,80.3349735,126.096,0.315374558798689,5
137.9175,-137.9175,137.4722235,177.3225,0.0440905123436701,8
137.9175,-151.0525,82.5866877857143,191.395714285714,0.345378235748648,7
137.9175,-164.1875,0,0,0,0
137.9175,-177.3225,138.879544928571,123.844285714286,0.0967715624905721,7
137.9175,-190.4575,0,0,0,0
137.9175,-203.5925,0,0,0,0
137.9175,-216.7275,0,0,0,0
137.9175,-229.8625,0,0,0,0
137.9175,-242.9975,0,0,0,0
151.0525,19.7025,0,0,0,0
151.0525,6.5675,0,0,0,0
151.0525,-6.5675,-142.584740785714,22.5171428571429,0.313721928803848,7
151.0525,-19.7025,-158.0652765,49.25625,0.292825606528899,8
151.0525,-32.8375,-148.2140265,45.9725,0.148311080009412,12
151.0525,-45.9725,-100.9280265,86.691,0.369287724667863,10
151.0525,-59.1075,-161.3490265,52.54,0.454865866837811,6
151.0525,-72.2425,-29.9990265,123.844285714286,0.386560723159303,7
151.0525,-85.3775,31.2976401666667,157.62,0.462368291937903,9
151.0525,-98.5125,0,0,0,0
151.0525,-111.6475,29.1084735,157.62,0.0824410424344129,4
151.0525,-124.7825,77.4691553181818,143.290909090909,0.04421240198489,11
151.0525,-137.9175,60.0695449285714,112.585714285714,0.0849957009548652,7
151.0525,-151.0525,105.103830642857,112.585714285714,0.294948359862731,7
151.0525,-164.1875,167.0259735,144.485,0.00569320674660889,6
151.0525,-177.3225,269.4789735,141.858,0.0165874384360165,10
151.0525,-190.4575,0,0,0,0
151.0525,-203.5925,0,0,0,0
151.0525,-216.7275,0,0,0,0
151.0525,-229.8625,0,0,0,0
151.0525,-242.9975,0,0,0,0
164.1875,19.7025,0,0,0,0
164.1875,6.5675,0,0,0,0
164.1875,-6.5675,0,0,0,0
164.1875,-19.7025,-156.0950265,-23.643,0.585391925272781,10
164.1875,-32.8375,-140.3330265,70.929,0.436242547905489,10
164.1875,-45.9725,-62.8365265,124.7825,0.303742010199488,12
164.1875,-59.1075,-97.5504550714286,123.844285714286,0.398152277766556,7
164.1875,-72.2425,-49.7015265,147.76875,0.28667538209228,8
164.1875,-85.3775,-29.9990265,84.4392857142857,0.291926691820827,14
164.1875,-98.5125,17.2869735,141.858,0.0697468651409244,5
164.1875,-111.6475,117.7697235,197.025,0.229202544197313,8
164.1875,-124.7825,88.2159735,137.9175,0.0515519919573912,4
164.1875,-137.9175,127.6209735,126.096,0.0333813433668082,5
164.1875,-151.0525,111.8589735,110.334,0.0388981371424233,5
164.1875,-164.1875,180.1609735,197.025,0.0504449344764581,6
164.1875,-177.3225,0,0,0,0
164.1875,-190.4575,0,0,0,0
164.1875,-203.5925,0,0,0,0
164.1875,-216.7275,0,0,0,0
164.1875,-229.8625,0,0,0,0
164.1875,-242.9975,0,0,0,0
177.3225,19.7025,0,0,0,0
177.3225,6.5675,0,0,0,0
177.3225,-6.5675,-29.9990265,78.81,0.755945125426006,3
177.3225,-19.7025,-82.5390265,78.81,0.495633983835783,6
177.3225,-32.8375,-10.2965265,78.81,0.597239061817052,8
177.3225,-45.9725,-56.2690265,105.08,0.393967264657257,12
177.3225,-59.1075,-20.7272617941176,115.897058823529,0.342741419896017,17
177.3225,-72.2425,-23.4315265,157.62,0.0999942715245749,12
177.3225,-85.3775,-65.0256931666667,113.836666666667,0.152517389625689,9
177.3225,-98.5125,22.5409735,137.9175,0.274374732723898,12
177.3225,-111.6475,72.4539735,141.858,0.0500111747599611,10
177.3225,-124.7825,81.6484735,118.215,0.0668389581614635,12
177.3225,-137.9175,58.6622235,98.5125,0.0331442415176404,8
177.3225,-151.0525,101.3509735,111.6475,0.0396390928315191,12
177.3225,-164.1875,0,0,0,0
177.3225,-177.3225,0,0,0,0
177.3225,-190.4575,0,0,0,0
177.3225,-203.5925,0,0,0,0
177.3225,-216.7275,0,0,0,0
177.3225,-229.8625,0,0,0,0
177.3225,-242.9975,0,0,0,0
190.4575,19.7025,0,0,0,0
190.4575,6.5675,0,0,0,0
190.4575,-6.5675,-167.9165265,-0,0.62494472473172,4
190.4575,-19.7025,0,0,0,0
190.4575,-32.8375,-29.9990265,78.81,0.412712708865971,10
190.4575,-45.9725,-56.2690265,137.9175,0.232915198447666,12
190.4575,-59.1075,-89.1065265,118.215,0.229550468879536,4
190.4575,-72.2425,-41.2575979285714,135.102857142857,0.132141839287908,7
190.4575,-85.3775,34.4818825909091,121.797272727273,0.158843413677409,11
190.4575,-98.5125,48.8109735,142.843125,0.067599647504697,16
190.4575,-111.6475,71.3281163571429,101.327142857143,0.06878793715723,7
190.4575,-124.7825,71.3281163571429,90.0685714285714,0.0946465824282301,7
190.4575,-137.9175,127.6209735,157.62,0.142614323712012,4
190.4575,-151.0525,0,0,0,0
190.4575,-164.1875,127.6209735,78.81,0.50857626238198,2
190.4575,-177.3225,0,0,0,0
190.4575,-190.4575,0,0,0,0
190.4575,-203.5925,0,0,0,0
190.4575,-216.7275,0,0,0,0
190.4575,-229.8625,0,0,0,0
190.4575,-242.9975,0,0,0,0
203.5925,19.7025,0,0,0,0
203.5925,6.5675,0,0,0,0
203.5925,-6.5675,-82.5390265,52.54,0.858447067267118,3
203.5925,-19.7025,-108.8090265,-39.405,0.879413072001321,4
203.5925,-32.8375,19.2572235,88.66125,0.522414067019187,8
203.5925,-45.9725,0,0,0,0
203.5925,-59.1075,-20.1477765,98.5125,0.11392438176161,8
203.5925,-72.2425,34.4818825909091,128.961818181818,0.215789012389159,11
203.5925,-85.3775,-7.48188364285714,78.81,0.333057037711957,7
203.5925,-98.5125,0,0,0,0
