x(um),y(um),Vx(mm/s),Vy(mm/s),Circular variance,particle numbers
59.1075,-72.2425,5.369588,118.215,0.518163959038162,6
59.1075,-85.3775,184.005588,173.382,0.269301989351912,5
59.1075,-98.5125,241.799588,131.35,0.663456686127997,3
59.1075,-111.6475,-20.900412,157.62,0.452774748060372,4
59.1075,-124.7825,97.314588,39.405,0.687176153729534,6
59.1075,-137.9175,110.449588,78.81,0.385011231972296,3
59.1075,-151.0525,235.232088,-9.85125,0.00689355957283366,8
59.1075,-164.1875,0,0,0,0
72.2425,32.8375,0,0,0,0
72.2425,19.7025,0,0,0,0
72.2425,6.5675,0,0,0,0
72.2425,-6.5675,-267.181662,59.1075,0.435987024259453,8
72.2425,-19.7025,-213.547078666667,105.08,0.485682896468823,9
72.2425,-32.8375,-210.044412,15.762,0.421688345821363,10
72.2425,-45.9725,-178.520412,32.8375,0.784265760071767,12
72.2425,-59.1075,-128.368593818182,-7.16454545454545,0.761786045793793,11
72.2425,-72.2425,18.504588,275.835,0.769674078777005,6
72.2425,-85.3775,73.671588,141.858,0.677665954172343,5
72.2425,-98.5125,89.433588,-15.762,0.660607417455029,5
72.2425,-111.6475,176.124588,91.945,0.348317111717404,6
72.2425,-124.7825,176.124588,91.945,0.263522896384691,6
72.2425,-137.9175,0,0,0,0
72.2425,-151.0525,0,0,0,0
72.2425,-164.1875,0,0,0,0
85.3775,32.8375,0,0,0,0
85.3775,19.7025,0,0,0,0
85.3775,6.5675,0,0,0,0
85.3775,-6.5675,-223.554697714286,33.7757142857143,0.147574588423809,7
85.3775,-19.7025,-204.790412,39.405,0.345670594635323,6
85.3775,-32.8375,-193.297287,44.330625,0.496361900649941,16
85.3775,-45.9725,-173.266412,31.524,0.533157252540502,15
85.3775,-59.1075,-99.710412,144.485,0.547376405881531,6
85.3775,-72.2425,-152.250412,26.27,0.783752397358706,6
85.3775,-85.3775,127.962921333333,78.81,0.960498542392458,9
85.3775,-98.5125,73.671588,149.739,0.460745670671722,10
85.3775,-111.6475,159.236730857143,191.395714285714,0.372513690106018,7
85.3775,-124.7825,162.989588,52.54,0.545876088195766,6
85.3775,-137.9175,0,0,0,0
85.3775,-151.0525,247.053588,126.096,0.131073565635584,5
85.3775,-164.1875,0,0,0,0
98.5125,32.8375,0,0,0,0
98.5125,19.7025,0,0,0,0
98.5125,6.5675,0,0,0,0
98.5125,-6.5675,-252.404787,93.586875,0.188858057408889,16
98.5125,-19.7025,-170.639412,94.572,0.266744022177502,10
98.5125,-32.8375,-125.980412,105.08,0.248158388894497,18
98.5125,-45.9725,-124.338537,68.95875,0.153656437132534,16
98.5125,-59.1075,-125.980412,96.3233333333333,0.543382748814474,9
98.5125,-72.2425,-64.6837453333333,157.62,0.536339659140743,9
98.5125,-85.3775,125.461016571429,191.395714285714,0.55295388943575,7
98.5125,-98.5125,77.612088,183.89,0.470955573998113,12
98.5125,-111.6475,120.957588,165.501,0.327969481121812,10
98.5125,-124.7825,93.7323152727272,-7.16454545454545,0.32818956080724,11
98.5125,-137.9175,136.719588,108.36375,0.649155841975345,8
98.5125,-151.0525,0,0,0,0
98.5125,-164.1875,0,0,0,0
111.6475,32.8375,0,0,0,0
111.6475,19.7025,0,0,0,0
111.6475,6.5675,0,0,0,0
111.6475,-6.5675,-178.520412,39.405,0.239511062755244,6
111.6475,-19.7025,-178.520412,78.81,0.141852328772164,11
111.6475,-32.8375,-170.639412,70.929,0.272635153776039,10
111.6475,-45.9725,-168.669162,78.81,0.310507504889142,16
111.6475,-59.1075,-133.486126285714,106.956428571429,0.550290725570252,14
111.6475,-72.2425,-88.4518405714286,95.6978571428571,0.492270699343109,14
111.6475,-85.3775,108.061406181818,164.784545454545,0.408192156258662,11
111.6475,-98.5125,84.179588,157.62,0.448938615532489,6
111.6475,-111.6475,102.943873714286,90.0685714285714,0.136934803300255,7
111.6475,-124.7825,187.383159428571,129.473571428571,0.518001836428047,14
111.6475,-137.9175,180.502921333333,157.62,0.241972894848214,9
111.6475,-151.0525,0,0,0,0
111.6475,-164.1875,0,0,0,0
124.7825,32.8375,0,0,0,0
124.7825,19.7025,0,0,0,0
124.7825,6.5675,0,0,0,0
124.7825,-6.5675,-157.026775636364,50.1518181818182,0.229817748033267,11
124.7825,-19.7025,-148.966662,118.215,0.242446408298793,16
124.7825,-32.8375,-93.6481043076923,109.121538461538,0.301833790703149,13
124.7825,-45.9725,-93.142912,105.08,0.84187308780345,12
124.7825,-59.1075,-88.4518405714286,75.0571428571428,0.384814655977463,21
124.7825,-72.2425,-65.231037,103.438125,0.27625418525595,16
124.7825,-85.3775,3.727713,152.694375,0.373882647283876,16
124.7825,-98.5125,57.909588,110.334,0.42251347604581,10
124.7825,-111.6475,93.7323152727272,186.278181818182,0.160574881202056,11
124.7825,-124.7825,120.957588,105.08,0.109882303456548,15
124.7825,-137.9175,193.012445142857,168.878571428571,0.608825960167666,7
124.7825,-151.0525,0,0,0,0
124.7825,-164.1875,0,0,0,0
137.9175,32.8375,0,0,0,0
137.9175,19.7025,0,0,0,0
137.9175,6.5675,0,0,0,0
137.9175,-6.5675,-162.758412,63.048,0.144925943013338,10
137.9175,-19.7025,-84.6989834285714,82.5628571428571,0.657813418811114,21
137.9175,-32.8375,-90.9537453333333,113.836666666667,0.196928580180069,9
137.9175,-45.9725,-132.547912,59.1075,0.333046202620106,12
137.9175,-59.1075,-33.0250273846154,163.682307692308,0.503657041764352,13
137.9175,-72.2425,-7.765412,144.485,0.392469298528009,12
137.9175,-85.3775,34.7301762352941,166.891764705882,0.341105611380122,17
137.9175,-98.5125,74.7974451428571,140.732142857143,0.133388994197857,14
137.9175,-111.6475,112.470357230769,157.62,0.260129157673481,13
137.9175,-124.7825,91.6853022857143,101.327142857143,0.438557784410303,14
137.9175,-137.9175,136.719588,78.81,0.0821936927424135,7
137.9175,-151.0525,0,0,0,0
137.9175,-164.1875,0,0,0,0
151.0525,32.8375,0,0,0,0
151.0525,19.7025,0,0,0,0
151.0525,6.5675,0,0,0,0
151.0525,-6.5675,-99.710412,45.0342857142857,0.824936059808467,14
151.0525,-19.7025,-178.520412,52.54,0.778868738815826,9
