x(um),y(um),Vx(mm/s),Vy(mm/s),Circular variance,particle numbers
32.8375,-59.1075,28.5725655,157.62,0.275928142795705,1
32.8375,-72.2425,28.5725655,-131.35,0.452299742053243,3
32.8375,-85.3775,0,0,0.841540927220139,0
32.8375,-98.5125,0,0,0,0
32.8375,-111.6475,0,0,0,0
32.8375,-124.7825,0,0,0,0
32.8375,-137.9175,0,0,0,0
45.9725,45.9725,0,0,0,0
45.9725,32.8375,0,0,0,0
45.9725,19.7025,0,0,0,0
45.9725,6.5675,0,0,0,0
45.9725,-6.5675,28.5725655,39.405,0.836512423803275,2
45.9725,-19.7025,-37.1024345,91.945,0.57535312240864,6
45.9725,-32.8375,-117.788863071429,90.0685714285714,0.796467177405563,7
45.9725,-45.9725,107.3825655,216.7275,0.960489849467221,4
45.9725,-59.1075,-168.4524345,-236.43,0.627158459864778,4
45.9725,-72.2425,48.2750655,78.81,0.807954773730964,4
45.9725,-85.3775,0,0,0,0
45.9725,-98.5125,0,0,0,0
45.9725,-111.6475,0,0,0,0
45.9725,-124.7825,0,0,0,0
45.9725,-137.9175,0,0,0,0
59.1075,45.9725,0,0,0,0
59.1075,32.8375,0,0,0,0
59.1075,19.7025,0,0,0,0
59.1075,6.5675,0,0,0,0
59.1075,-6.5675,-50.2374345,-157.62,0.37216486880162,1
59.1075,-19.7025,-227.5599345,-137.9175,0.666658506607805,4
59.1075,-32.8375,-18.7134345,110.334,0.805638400949816,5
59.1075,-45.9725,60.0965655,94.572,0.683673018631288,5
59.1075,-59.1075,-168.4524345,-197.025,0.424812098997628,2
59.1075,-72.2425,146.7875655,-59.1075,0.438713494446941,4
59.1075,-85.3775,28.5725655,0,0.652459514407642,2
59.1075,-98.5125,0,0,0,0
59.1075,-111.6475,0,0,0,0
59.1075,-124.7825,0,0,0,0
59.1075,-137.9175,0,0,0,0
72.2425,45.9725,0,0,0,0
72.2425,32.8375,0,0,0,0
72.2425,19.7025,0,0,0,0
72.2425,6.5675,0,0,0,0
72.2425,-6.5675,-129.0474345,78.81,0.513710661763503,2
72.2425,-19.7025,-84.0131487857143,225.171428571429,0.321450227562019,7
72.2425,-32.8375,28.5725655,183.89,0.805202334325439,3
72.2425,-45.9725,58.1263155,88.66125,0.470893960041013,8
72.2425,-59.1075,54.8425655,131.35,0.761062616237594,3
72.2425,-72.2425,133.6525655,105.08,0.690710711495402,3
72.2425,-85.3775,0,0,0,0
72.2425,-98.5125,28.5725655,39.405,0.469053005796329,2
72.2425,-111.6475,0,0,0,0
72.2425,-124.7825,0,0,0,0
72.2425,-137.9175,0,0,0,0
85.3775,45.9725,0,0,0,0
85.3775,32.8375,0,0,0,0
85.3775,19.7025,0,0,0,0
85.3775,6.5675,0,0,0,0
85.3775,-6.5675,-50.2374345,78.81,0.725803973819396,4
85.3775,-19.7025,-69.9399345,-118.215,0.474684186948307,4
85.3775,-32.8375,-188.1549345,137.9175,0.402347132397882,4
85.3775,-45.9725,116.139232166667,26.27,0.33737570810534,9
85.3775,-59.1075,-102.7774345,-367.78,0.856214018525062,3
85.3775,-72.2425,265.0025655,-78.81,0.414657122061668,1
85.3775,-85.3775,0,0,0,0
85.3775,-98.5125,67.9775655,39.405,0.524489656383958,2
85.3775,-111.6475,0,0,0,0
85.3775,-124.7825,0,0,0,0
85.3775,-137.9175,0,0,0,0
98.5125,45.9725,0,0,0,0
98.5125,32.8375,0,0,0,0
98.5125,19.7025,0,0,0,0
98.5125,6.5675,0,0,0,0
98.5125,-6.5675,-239.3814345,-63.048,0.482910061453466,5
98.5125,-19.7025,-89.6424345,39.405,0.225148226554414,2
98.5125,-32.8375,-129.0474345,78.81,0.383326073521733,3
98.5125,-45.9725,2.3025655,105.08,0.197675701779651,3
