x(um),y(um),Vx(mm/s),Vy(mm/s),Circular variance,particle numbers
-19.7025,-242.9975,0,0,0,0
-6.5675,45.9725,0,0,0,0
-6.5675,32.8375,0,0,0,0
-6.5675,19.7025,0,0,0,0
-6.5675,6.5675,0,0,0,0
-6.5675,-6.5675,-218.004222,-78.81,0.546028474509692,4
-6.5675,-19.7025,-123.432222,94.572,0.58418142206824,10
-6.5675,-32.8375,176.045778,59.1075,0.85861417545304,4
-6.5675,-45.9725,0.0367780000000003,120.842,0.828962149622492,15
-6.5675,-59.1075,-34.114222,135.728333333333,0.765632048227506,18
-6.5675,-72.2425,-32.2377934285714,123.844285714286,0.718727647267642,14
-6.5675,-85.3775,14.0474446666667,131.35,0.977145271447148,9
-6.5675,-98.5125,-198.301722,-59.1075,0.902550785736359,4
-6.5675,-111.6475,-82.2758886666666,-61.2966666666667,0.701013289216686,9
-6.5675,-124.7825,136.640778,52.54,0.758661147366897,3
-6.5675,-137.9175,0,0,0,0
-6.5675,-151.0525,0,0,0,0
-6.5675,-164.1875,0,0,0,0
-6.5675,-177.3225,0,0,0,0
-6.5675,-190.4575,0,0,0,0
-6.5675,-203.5925,0,0,0,0
-6.5675,-216.7275,0,0,0,0
-6.5675,-229.8625,0,0,0,0
-6.5675,-242.9975,0,0,0,0
6.5675,45.9725,0,0,0,0
6.5675,32.8375,0,0,0,0
6.5675,19.7025,0,0,0,0
6.5675,6.5675,0,0,0,0
6.5675,-6.5675,-77.2720791428571,90.0685714285714,0.734443219659634,7
6.5675,-19.7025,-106.953767454545,121.797272727273,0.795318703135725,11
6.5675,-32.8375,-99.789222,115.183846153846,0.863408491997333,13
6.5675,-45.9725,69.0893494285714,180.137142857143,0.878993647680367,7
6.5675,-59.1075,-82.2758886666666,78.81,0.573530510792873,9
6.5675,-72.2425,136.640778,147.76875,0.966446364178437,8
6.5675,-85.3775,8.574528,108.36375,0.846168287795035,16
6.5675,-98.5125,-73.519222,105.08,0.934406973634379,3
6.5675,-111.6475,73.592778,-252.192,0.693226351684523,5
6.5675,-124.7825,34.187778,63.048,0.723439760154712,10
6.5675,-137.9175,97.235778,-0,0.695813933280102,2
6.5675,-151.0525,0,0,0,0
6.5675,-164.1875,0,0,0,0
6.5675,-177.3225,0,0,0,0
6.5675,-190.4575,0,0,0,0
6.5675,-203.5925,0,0,0,0
6.5675,-216.7275,0,0,0,0
6.5675,-229.8625,0,0,0,0
6.5675,-242.9975,0,0,0,0
19.7025,45.9725,0,0,0,0
19.7025,32.8375,0,0,0,0
19.7025,19.7025,0,0,0,0
19.7025,6.5675,0,0,0,0
19.7025,-6.5675,-178.599222,-15.762,0.880943726709107,5
19.7025,-19.7025,-121.282858363636,150.455454545455,0.737083682926884,11
19.7025,-32.8375,-51.8179176521739,109.648695652174,0.718537657172453,23
19.7025,-45.9725,-99.789222,149.739,0.87283518324291,10
19.7025,-59.1075,-27.0415296923077,109.121538461538,0.594578634799229,13
19.7025,-72.2425,39.6438549230769,127.308461538462,0.879263972581673,13
19.7025,-85.3775,84.100778,78.81,0.849844553238936,6
19.7025,-98.5125,102.865063714286,106.956428571429,0.465169635380104,14
19.7025,-111.6475,84.100778,-315.24,0.792726236521552,3
19.7025,-124.7825,-36.741222,-252.192,0.819903490692865,5
19.7025,-137.9175,97.235778,39.405,0.683759268906636,6
19.7025,-151.0525,57.830778,78.81,0.634442436504362,2
19.7025,-164.1875,87.384528,-9.85125,0.216488460723987,8
19.7025,-177.3225,0,0,0,0
19.7025,-190.4575,0,0,0,0
19.7025,-203.5925,0,0,0,0
19.7025,-216.7275,0,0,0,0
19.7025,-229.8625,0,0,0,0
19.7025,-242.9975,0,0,0,0
32.8375,45.9725,0,0,0,0
